Experiment_ID,Month_Year,Date,Lab_ID,Material_Type,Power_Consumption_W,Temperature_K,Levitation_Altitude_m,Success_Rate_Percent
EXP-1230,2020-01,2020-01-01,Lab-Beta,Bismuth-Strontium,992.6655960503656,62.779977591392594,5.285861374956391,84.02328586868524
EXP-0952,2020-01,2020-01-01,Lab-Gamma,Carbon Nanotubes,560.8815392401623,99.68767376670735,3.735609794157498,64.12407352744319
EXP-0332,2020-01,2020-01-02,Lab-Epsilon,Carbon Nanotubes,967.0771488275273,86.500915089302,5.407652646836766,69.05233170857893
EXP-2415,2020-01,2020-01-02,Lab-Beta,Niobium-Titanium,1493.874047855305,56.58186431309267,7.06328776357196,83.20063980924265
EXP-2262,2020-01,2020-01-02,Lab-Epsilon,Graphene-YBCO,1453.2356029306304,67.80438386575777,11.988845036378827,88.84750924204498
EXP-0260,2020-01,2020-01-02,Lab-Gamma,Bismuth-Strontium,1574.2697825543173,57.86646472442527,9.26004268884878,81.93865351009448
EXP-1951,2020-01,2020-01-03,Lab-Epsilon,Niobium-Titanium,1440.814969352713,59.249008842667486,6.262009631806931,78.81162778813305
EXP-1879,2020-01,2020-01-03,Lab-Gamma,Carbon Nanotubes,675.5655750523237,64.28839428089346,2.297969238650792,83.56659010380064
EXP-1638,2020-01,2020-01-04,Lab-Gamma,Graphene-YBCO,1121.1994072894631,81.65733811655245,8.890515340624495,82.11097807229356
EXP-1202,2020-01,2020-01-04,Lab-Beta,Bismuth-Strontium,1843.5465116976134,114.59612928055427,10.179644628744718,71.81634456468667
EXP-0521,2020-01,2020-01-05,Lab-Epsilon,Gold-Coated Aerogel,1448.493981029598,57.19380508178887,5.246334828185403,91.91549372457646
EXP-1284,2020-01,2020-01-05,Lab-Alpha,Bismuth-Strontium,1062.3509053748676,89.09938098800636,2.0184222700766647,71.8972591345786
EXP-1197,2020-01,2020-01-06,Lab-Gamma,Bismuth-Strontium,1480.306402882194,61.59813896400107,6.468222291823889,87.68087822482559
EXP-1576,2020-01,2020-01-07,Lab-Delta,Bismuth-Strontium,1608.6007590674376,43.30385538758136,12.627333726846434,93.80091524535258
EXP-2302,2020-01,2020-01-07,Lab-Epsilon,Niobium-Titanium,1476.3948835441363,41.106233932275046,9.219375068176147,87.35209893513073
EXP-2036,2020-01,2020-01-07,Lab-Delta,Niobium-Titanium,1371.3754783479776,58.74832019267813,6.480608795674387,97.34428808248717
EXP-1091,2020-01,2020-01-08,Lab-Beta,Bismuth-Strontium,1419.652822386247,70.26336324894737,5.9484731667190935,75.34543944363855
EXP-0341,2020-01,2020-01-09,Lab-Epsilon,Carbon Nanotubes,1385.0970866817206,67.59719556501358,7.223512114956202,93.97260441730988
EXP-2285,2020-01,2020-01-09,Lab-Gamma,Graphene-YBCO,1036.3494366067023,77.52415608903866,8.009682163312354,77.28231861117428
EXP-0905,2020-01,2020-01-10,Lab-Alpha,Quantum Flex,1255.520181816604,33.962611997069644,11.242432556888387,100.0
EXP-1242,2020-01,2020-01-10,Lab-Alpha,Niobium-Titanium,1714.9570594633233,90.81028543017592,7.162737743336464,70.93189038892532
